# City,Country,IATA,ICAO,Airport,Refs
Aalborg,Denmark,AAL,EKYT,Aalborg Airport,[2]
Aberdeen,United Kingdom,ABZ,EGPD,Aberdeen Airport
Abidjan,Côte d'Ivoire,ABJ,DIAP,Port Bouet Airport
Abu Dhabi,United Arab Emirates,AUH,OMAA,Abu Dhabi International Airport,[3]
Abuja,Nigeria,ABV,DNAA,Nnamdi Azikiwe International Airport
Accra,Ghana,ACC,DGAA,Kotoka International Airport,[4]
Addis Ababa,Ethiopia,ADD,HAAB,Bole International Airport
Aleppo,Syria,ALP,OSAP,Aleppo International Airport
Alexandria,Egypt,ALY,HEAX,Alexandria International Airport
Algiers,Algeria,ALG,DAAG,Houari Boumediene Airport
Alicante,Spain,ALC,LEAL,Alicante-Elche Airport
Almaty,Kazakhstan,ALA,UAAA,Almaty International Airport
Amman,Jordan,AMM,OJAI,Queen Alia International Airport
Amsterdam,Netherlands,AMS,EHAM,Amsterdam Airport Schiphol
Ancona,Italy,AOI,LIPY,Ancona Airport
Ankara,Turkey,ESB,LTAC,Esenboğa International Airport
Antalya,Turkey,AYT,LTAI,Antalya Airport
Ashgabat,Turkmenistan,ASB,UTAA,Ashgabat Airport
Asmara,Eritrea,ASM,HHAS,Asmara International Airport
Astana,Kazakhstan,TSE,UACC,Astana International Airport
Asuncion,Paraguay,ASU,SGAS,Silvio Pettirossi International Airport
Athens,Greece,ATH,LGAV,Athens International Airport
Atlanta,United States,ATL,KATL,Hartsfield–Jackson Atlanta International Airport
Auckland,New Zealand,AKL,NZAA,Auckland Airport
Baghdad,Iraq,BGW,ORBI,Baghdad International Airport
Bangalore,India,BLR,VOBL,Bengaluru International Airport
Bangkok,Thailand,BKK,VTBS,Suvarnabhumi Airport
Baku,Azerbaijan,GYD,UBBB,Heydar Aliyev International Airport
Barcelona,Spain,BCN,LEBL,Barcelona El-Prat Airport,[5]
Bari,Italy,BRI,LIBD,Bari Airport
Basel,Switzerland,BSL,LFSB,EuroAirport Basel-Mulhouse-Freiburg
Mulhouse,France,MLH,,
Freiburg,Germany (Baden-Württemberg),EAP,,
Bastia,France,BIA,LFKB,Bastia – Poretta Airport
Beijing,People's Republic of China,PEK,ZBAA,Beijing Capital International Airport
Beirut,Lebanon,BEY,OLBA,Beirut Rafic Hariri International Airport
Belgrade,Serbia,BEG,LYBE,Belgrade Nikola Tesla Airport
Bergen,Norway,BGO,ENBR,Bergen Airport
Berlin,Germany (Berlin),TXL,EDDT,Berlin Tegel Airport
Bilbao,Spain,BIO,LEBB,Bilbao Airport
Billund,Denmark,BLL,EKBI,Billund Airport
Birmingham,United Kingdom,BHX,EGBB,Birmingham Airport
Bodrum/Milas,Turkey,BJV,LTFE,Milas–Bodrum Airport
Bogota,Colombia,BOG,SKBO,El Dorado International Airport
Bologna,Italy,BLQ,LIPE,Bologna Guglielmo Marconi Airport
Bordeaux,France,BOD,LFBD,Mérignac Airport
Boston,United States,BOS,KBOS,Logan International Airport
